column,matched_patterns,is_allowlisted,excluded_from_modeling,reason
source_match_id,,FALSE,FALSE,not_used_as_predictor
date,,FALSE,FALSE,not_used_as_predictor
season,,FALSE,FALSE,not_used_as_predictor
competition,,FALSE,FALSE,not_used_as_predictor
tournament,,FALSE,FALSE,not_used_as_predictor
home_team,,FALSE,FALSE,not_used_as_predictor
away_team,,FALSE,FALSE,not_used_as_predictor
home_score,score; home_score,FALSE,TRUE,matches_leakage_pattern
away_score,score; away_score,FALSE,TRUE,matches_leakage_pattern
match_result,result,FALSE,TRUE,matches_leakage_pattern
result_class,result,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_win,,FALSE,FALSE,not_used_as_predictor
draw,,FALSE,FALSE,not_used_as_predictor
away_win,,FALSE,FALSE,not_used_as_predictor
neutral,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
city,,FALSE,FALSE,not_used_as_predictor
country,,FALSE,FALSE,not_used_as_predictor
shootout_played,shootout,FALSE,TRUE,matches_leakage_pattern
shootout_winner,winner; shootout,FALSE,TRUE,matches_leakage_pattern
home_won_shootout,shootout,FALSE,TRUE,matches_leakage_pattern
away_won_shootout,shootout,FALSE,TRUE,matches_leakage_pattern
home_team_clean,,FALSE,FALSE,not_used_as_predictor
away_team_clean,,FALSE,FALSE,not_used_as_predictor
home_rating_pre_match,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_rating_date,,FALSE,FALSE,not_used_as_predictor
away_rating_pre_match,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_rating_date,,FALSE,FALSE,not_used_as_predictor
home_rank_pre_match,,FALSE,FALSE,not_used_as_predictor
away_rank_pre_match,,FALSE,FALSE,not_used_as_predictor
rating_diff,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
rank_diff,,FALSE,FALSE,not_used_as_predictor
rating_age_days_home,,FALSE,FALSE,not_used_as_predictor
rating_age_days_away,,FALSE,FALSE,not_used_as_predictor
data_split,,FALSE,FALSE,not_used_as_predictor
is_friendly,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
is_world_cup,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
is_world_cup_qualifier,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
is_continental_qualifier,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
is_continental_tournament,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
data_split_modeling,,FALSE,FALSE,not_used_as_predictor
home_prior_matches,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_points_per_match_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_goal_diff_per_match_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_goals_for_per_match_last_5,home_goals,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_goals_against_per_match_last_5,home_goals,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_draw_rate_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_points_per_match_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_goal_diff_per_match_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_goals_for_per_match_last_10,home_goals,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_goals_against_per_match_last_10,home_goals,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_draw_rate_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_prior_matches,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_points_per_match_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_goal_diff_per_match_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_goals_for_per_match_last_5,away_goals,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_goals_against_per_match_last_5,away_goals,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_draw_rate_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_points_per_match_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_goal_diff_per_match_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_goals_for_per_match_last_10,away_goals,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_goals_against_per_match_last_10,away_goals,TRUE,FALSE,allowlisted_past_only_or_selected_feature
away_draw_rate_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_points_diff_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_goal_diff_diff_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_goals_for_diff_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_goals_against_diff_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_draw_rate_mean_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_draw_rate_diff_last_5,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_points_diff_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_goal_diff_diff_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_goals_for_diff_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_goals_against_diff_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_draw_rate_mean_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
form_draw_rate_diff_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
home_unique_scorers_last_10,score,FALSE,TRUE,matches_leakage_pattern
home_goals_by_top_scorer_last_10,score; home_goals,FALSE,TRUE,matches_leakage_pattern
home_non_penalty_goals_last_10,,FALSE,FALSE,not_used_as_predictor
home_penalty_goals_last_10,,FALSE,FALSE,not_used_as_predictor
home_unique_scorers_365d,score,FALSE,TRUE,matches_leakage_pattern
home_goals_by_top_scorer_365d,score; home_goals,FALSE,TRUE,matches_leakage_pattern
home_non_penalty_goals_365d,,FALSE,FALSE,not_used_as_predictor
home_penalty_goals_365d,,FALSE,FALSE,not_used_as_predictor
home_avg_goal_minute_365d,,FALSE,FALSE,not_used_as_predictor
away_unique_scorers_last_10,score,FALSE,TRUE,matches_leakage_pattern
away_goals_by_top_scorer_last_10,score; away_goals,FALSE,TRUE,matches_leakage_pattern
away_non_penalty_goals_last_10,,FALSE,FALSE,not_used_as_predictor
away_penalty_goals_last_10,,FALSE,FALSE,not_used_as_predictor
away_unique_scorers_365d,score,FALSE,TRUE,matches_leakage_pattern
away_goals_by_top_scorer_365d,score; away_goals,FALSE,TRUE,matches_leakage_pattern
away_non_penalty_goals_365d,,FALSE,FALSE,not_used_as_predictor
away_penalty_goals_365d,,FALSE,FALSE,not_used_as_predictor
away_avg_goal_minute_365d,,FALSE,FALSE,not_used_as_predictor
unique_scorers_diff_last_10,score,TRUE,FALSE,allowlisted_past_only_or_selected_feature
top_scorer_goals_diff_last_10,score,TRUE,FALSE,allowlisted_past_only_or_selected_feature
non_penalty_goals_diff_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
penalty_goals_diff_last_10,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
unique_scorers_diff_365d,score,TRUE,FALSE,allowlisted_past_only_or_selected_feature
top_scorer_goals_diff_365d,score,TRUE,FALSE,allowlisted_past_only_or_selected_feature
non_penalty_goals_diff_365d,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
penalty_goals_diff_365d,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
avg_goal_minute_diff_365d,,TRUE,FALSE,allowlisted_past_only_or_selected_feature
